Station, Date,   Air Temperature(Celcius),  Relative Humidity,  WindSpeed  (knots), Max Wind Speed,   MAX  ,  MIN  ,Precipitation 
948702,2017-12-21,17,52.5,5.7,11.1,   72.0*,  55.4*, 0.00I
948702,2017-12-22,19,55.8,6,11.1,   77.0*,55.2, 0.00I
948702,2017-12-23,19,53.9,8.3,14,   78.1*,57.2, 0.00I
948702,2017-12-24,16,47,12,16.9,   65.7*,  59.0*, 0.00I
948702,2017-12-25,17,50.4,10.8,16.9,   70.7*,  52.9*, 0.00I
948702,2017-12-26,22,55.5,10.3,19,   83.7*,51.6, 0.00I
948702,2017-12-27,28,58.3,9.3,15.9,   93.6*,59.4, 0.00I
948702,2017-12-28,21,61.1,6.6,11.1,   90.0*,  64.8*, 0.00I
948702,2017-12-29,19,59.7,7.4,14,   75.0*,  60.6*, 0.63G
948702,2017-12-30,16,51.5,8.7,15,   67.8*,  55.8*, 0.02G
948702,2017-12-31,18,53.6,7.9,15.9,   73.2*,54.7, 0.00G
948702,2018-01-01,19,52.9,8.1,15,   75.4*,59.9, 0.00I
